<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US2.AAPL,60,20190129,200000,155.7400000,156.4800000,155.2450000,156.4000000,189394
US2.AAPL,60,20190129,210000,156.4200000,157.0000000,156.0000000,156.7400000,130682
US2.AAPL,60,20190129,220000,156.7500000,156.7500000,155.9500000,156.1300000,111094
US2.AAPL,60,20190129,230000,156.1100000,156.1800000,154.6400000,154.7300000,168937
US2.AAPL,60,20190130,000000,154.7300000,154.8600000,154.1200000,154.6600000,403133
US2.AAPL,60,20190130,180000,163.2400000,163.3300000,160.6600000,160.8000000,546064
US2.AAPL,60,20190130,190000,160.7800000,162.6600000,160.2600000,162.5400000,442823
US2.AAPL,60,20190130,200000,162.5700000,163.1300000,161.8700000,162.3000000,282222
US2.AAPL,60,20190130,210000,162.3000000,163.0000000,161.9000000,162.8600000,220323
US2.AAPL,60,20190130,220000,162.8300000,163.2500000,162.4500000,163.0200000,211296
US2.AAPL,60,20190130,230000,163.0500000,166.1400000,163.0100000,166.0700000,495668
US2.AAPL,60,20190131,000000,166.0800000,166.0800000,164.8400000,165.2400000,492388
US2.AAPL,60,20190131,180000,166.1100000,166.6800000,164.5700000,166.5200000,248015
US2.AAPL,60,20190131,190000,166.5600000,168.7200000,166.2050000,168.2800000,521772
US2.AAPL,60,20190131,200000,168.2800000,169.0000000,167.7200000,168.9200000,314888
US2.AAPL,60,20190131,210000,168.8700000,168.9000000,167.5300000,167.7600000,228688
US2.AAPL,60,20190131,220000,167.7600000,167.7600000,166.8100000,167.4400000,161158
US2.AAPL,60,20190131,230000,167.4900000,167.5400000,166.5600000,166.7300000,131916
US2.AAPL,60,20190201,000000,166.7400000,166.9800000,166.2100000,166.2800000,260437
US2.AAPL,60,20190201,180000,166.9600000,168.1200000,166.7750000,167.1100000,268904
US2.AAPL,60,20190201,190000,167.1400000,168.9800000,167.1400000,168.0300000,369197
US2.AAPL,60,20190201,200000,168.0300000,168.3300000,167.5300000,167.8800000,187937
US2.AAPL,60,20190201,210000,167.8800000,167.8900000,167.0000000,167.1900000,193126
US2.AAPL,60,20190201,220000,167.1900000,167.3000000,166.3850000,167.0300000,157599
US2.AAPL,60,20190201,230000,167.0400000,167.0400000,165.9500000,166.1400000,161900
US2.AAPL,60,20190202,000000,166.1100000,166.7600000,165.9900000,166.5700000,239318
US2.AAPL,60,20190204,180000,167.4000000,169.8000000,167.3600000,169.7700000,284445
US2.AAPL,60,20190204,190000,169.8000000,170.6900000,169.3700000,170.2300000,430046
US2.AAPL,60,20190204,200000,170.2700000,171.3600000,170.0800000,171.0700000,302938
US2.AAPL,60,20190204,210000,171.1000000,171.1800000,170.5700000,170.8700000,183758
US2.AAPL,60,20190204,220000,170.8600000,171.5300000,170.8200000,171.4400000,165275
US2.AAPL,60,20190204,230000,171.4900000,171.6550000,171.0000000,171.2600000,137748
US2.AAPL,60,20190205,000000,171.2500000,171.3500000,170.7300000,171.2400000,232374
US2.AAPL,60,20190205,180000,172.8600000,174.4700000,172.3600000,174.1800000,307567
US2.AAPL,60,20190205,190000,174.1800000,175.0000000,173.6000000,174.8000000,371705
US2.AAPL,60,20190205,200000,174.8400000,175.0800000,174.0300000,174.4100000,287954
US2.AAPL,60,20190205,210000,174.4300000,174.4300000,173.0200000,173.1400000,231454
US2.AAPL,60,20190205,220000,173.1600000,173.8800000,172.7000000,173.8000000,202336
US2.AAPL,60,20190205,230000,173.8000000,174.4400000,173.7900000,174.2100000,209538
US2.AAPL,60,20190206,000000,174.2300000,174.4700000,173.7600000,174.1100000,299918
US2.AAPL,60,20190206,180000,174.8000000,175.3100000,173.5400000,173.6200000,197734
US2.AAPL,60,20190206,190000,173.6500000,174.5900000,172.8600000,174.2900000,302697
US2.AAPL,60,20190206,200000,174.2950000,175.5700000,174.0600000,174.8100000,268078
US2.AAPL,60,20190206,210000,174.8000000,174.8700000,173.7200000,173.8900000,218192
US2.AAPL,60,20190206,220000,173.8800000,174.4600000,173.7700000,174.2000000,135452
US2.AAPL,60,20190206,230000,174.1600000,174.2400000,173.6900000,174.2400000,144631
US2.AAPL,60,20190207,000000,174.2600000,174.3300000,174.0400000,174.2800000,216863
US2.AAPL,60,20190207,180000,172.3400000,173.1700000,171.8000000,173.0900000,224241
US2.AAPL,60,20190207,190000,173.1100000,173.9300000,172.5200000,172.5500000,319972
US2.AAPL,60,20190207,200000,172.5500000,172.8100000,171.0800000,171.2100000,402075
US2.AAPL,60,20190207,210000,171.1900000,171.7700000,170.3400000,170.7200000,275517
US2.AAPL,60,20190207,220000,170.7000000,171.3300000,170.6000000,171.1500000,199522
US2.AAPL,60,20190207,230000,171.1500000,171.3800000,170.7000000,170.9800000,185647
US2.AAPL,60,20190208,000000,170.9700000,171.1500000,170.4800000,171.0100000,316907
US2.AAPL,60,20190208,180000,168.9000000,169.6600000,168.4400000,169.2300000,198299
US2.AAPL,60,20190208,190000,169.1800000,170.3600000,168.9000000,169.5500000,337920
US2.AAPL,60,20190208,200000,169.5700000,169.8300000,169.0500000,169.7800000,221116
US2.AAPL,60,20190208,210000,169.7700000,170.0300000,169.3000000,169.8000000,145903
US2.AAPL,60,20190208,220000,169.8300000,170.2900000,169.7500000,170.2400000,141122
US2.AAPL,60,20190208,230000,170.2500000,170.6400000,170.0600000,170.4900000,161557
US2.AAPL,60,20190209,000000,170.4000000,170.5200000,169.8400000,170.5100000,261676
US2.AAPL,60,20190211,180000,171.1450000,171.1600000,169.4100000,170.2300000,163114
US2.AAPL,60,20190211,190000,170.2100000,170.6800000,170.0200000,170.1200000,233633
US2.AAPL,60,20190211,200000,170.1300000,170.1300000,169.3900000,169.8000000,155464
US2.AAPL,60,20190211,210000,169.8100000,170.6600000,169.7000000,170.4700000,98914
US2.AAPL,60,20190211,220000,170.4300000,170.5000000,169.6500000,169.9200000,96451
US2.AAPL,60,20190211,230000,169.8700000,170.1000000,169.4400000,169.5200000,117243
US2.AAPL,60,20190212,000000,169.5800000,169.9000000,169.2500000,169.4700000,216592
US2.AAPL,60,20190212,180000,170.1500000,170.9500000,169.7500000,170.1200000,128075
US2.AAPL,60,20190212,190000,170.1500000,170.6500000,169.7000000,170.4000000,171313
US2.AAPL,60,20190212,200000,170.4200000,170.6800000,169.7600000,169.8700000,190072
US2.AAPL,60,20190212,210000,169.9000000,170.3300000,169.7800000,169.9800000,110247
